_id,_labels,address,age,baz,city,foo,kids,last:Name,male,name,street,_start,_end,_type,one,three
0,:User:User1,,42,,,,"["a","b","c"]",,true,foo,,,,,,
1,:User,,42,,,,,,,bar,,,,,,
2,:User,,12,,,,,,,,,,,,,
3,:Address:Address1,,,,Milano,,,,,Andrea,"Via Garibaldi, 7",,,,,
4,:Address,,,,,,,,,Bar Sport,,,,,,
5,:Address,,,,,,,,,,via Benni,,,,,
6,:Sample:User,,,,,,,Galilei,,,,,,,,
7,:Sample:User,Universe,,,,,,,,,,,,,,
8,:Sample:User,,,,,bar,,,,,,,,,,
9,:Sample:User,,,baa,,true,,,,,,,,,,
,,,,,,,,,,,,0,1,KNOWS,,
,,,,,,,,,,,,3,4,NEXT_DELIVERY,,
,,,,,,,,,,,,8,9,KNOWS,two,four
